base	energy
aa	0.266322
ac	-0.466191
ag	0.728930
at	-0.209020
ca	0.478550
cc	-0.333821
cg	0.903852
ct	0.086900
ga	-0.369301
gc	-1.011295
gg	0.166560
gt	-0.898107
ta	0.360092
tc	-0.358790
tg	0.694651
tt	0.090410
aa	0.333490
ac	0.528189
ag	1.147734
at	0.486297
ca	0.061510
cc	-0.362400
cg	0.809610
ct	-0.087870
ga	-0.425310
gc	-0.483820
gg	0.291900
gt	-0.494022
ta	0.222602
tc	0.147710
tg	0.760000
tt	0.281050
0	0.364805
1	0.598272
2	0.811917
3	0.987627
4	1.118087
5	1.227145
6	1.289433
7	1.337937
8	1.378441
9	1.445167
10	1.481218
11	1.501559
12	1.556283
13	1.548697
14	1.524547
15	1.504855
16	1.423784
17	1.350990
18	1.174730
19	1.027578
20	0.755590
21	0.533167
22	0.309847
23	0.132468
0	0.629564
1	0.978220
2	1.308798
3	1.438483
4	1.576059
5	1.711225
6	1.805716
7	1.888550
8	1.957425
9	1.946933
10	1.954353
11	1.874935
12	1.834301
13	1.704934
14	1.558587
15	1.376790
16	1.163029
17	0.944158
18	0.711831
19	0.530515
20	0.342729
21	0.229085
22	0.117755
23	0.040198
 7.519825
 4.697097
