base	energy
aa	0.337130
ac	-0.291760
ag	0.779382
at	-0.222710
ca	0.335910
cc	-0.372490
cg	0.827972
ct	-0.143170
ga	-0.394650
gc	-0.948602
gg	-0.020240
gt	-0.989592
ta	0.561440
tc	-0.043490
tg	0.969072
tt	0.122600
aa	0.406050
ac	-0.040100
ag	0.858068
at	0.193040
ca	0.496422
cc	-0.363290
cg	1.023520
ct	0.065120
ga	-0.169620
gc	-0.754561
gg	0.226700
gt	-0.546751
ta	0.542742
tc	-0.111840
tg	0.721670
tt	0.256010
0	0.455684
1	0.726631
2	0.989264
3	1.190930
4	1.358899
5	1.479821
6	1.581726
7	1.664762
8	1.717715
9	1.748484
10	1.782850
11	1.773778
12	1.781832
13	1.702109
14	1.628095
15	1.540163
16	1.418683
17	1.235416
18	1.042327
19	0.860673
20	0.649441
21	0.449166
22	0.273446
23	0.110578
0	0.483555
1	0.802652
2	1.121954
3	1.408380
4	1.632980
5	1.808389
6	1.947235
7	2.052497
8	2.144000
9	2.237930
10	2.319268
11	2.312226
12	2.321230
13	2.109989
14	1.934009
15	1.713341
16	1.493892
17	1.232725
18	0.971485
19	0.696470
20	0.459040
21	0.268916
22	0.117456
23	0.036128
 9.558708
 5.712323
